Year,Partner,Export_Value_USD_Millions,Partner_Share_Pct,YoY_Growth_Pct
2015,United States,2847,38.2,-
2015,European Union,1523,20.4,-
2015,Japan,412,5.5,-
2015,Canada,387,5.2,-
2015,South Korea,298,4.0,-
2015,Ecuador,276,3.7,-
2015,Peru,241,3.2,-
2015,Chile,198,2.7,-
2015,Other,1278,17.1,-
2016,United States,2912,37.8,2.3
2016,European Union,1587,20.6,4.2
2016,Japan,445,5.8,8.0
2016,Canada,398,5.2,2.8
2016,South Korea,334,4.3,12.1
2016,Ecuador,289,3.8,4.7
2016,Peru,267,3.5,10.8
2016,Chile,212,2.8,7.1
2016,Other,1256,16.3,-1.7
2017,United States,3045,37.1,4.6
2017,European Union,1678,20.4,5.7
2017,Japan,498,6.1,11.9
2017,Canada,412,5.0,3.5
2017,South Korea,378,4.6,13.2
2017,Ecuador,312,3.8,8.0
2017,Peru,298,3.6,11.6
2017,Chile,234,2.9,10.4
2017,Other,1355,16.5,7.9
2018,United States,3198,36.5,5.0
2018,European Union,1789,20.4,6.6
2018,Japan,534,6.1,7.2
2018,Canada,428,4.9,3.9
2018,South Korea,423,4.8,11.9
2018,Ecuador,341,3.9,9.3
2018,Peru,324,3.7,8.7
2018,Chile,256,2.9,9.4
2018,Other,1467,16.7,8.3
2019,United States,3287,35.8,2.8
2019,European Union,1867,20.3,4.4
2019,Japan,578,6.3,8.2
2019,Canada,445,4.8,4.0
2019,South Korea,467,5.1,10.4
2019,Ecuador,367,4.0,7.6
2019,Peru,356,3.9,9.9
2019,Chile,278,3.0,8.6
2019,Other,1545,16.8,5.3
2020,United States,2934,34.2,-10.7
2020,European Union,1756,20.5,-5.9
2020,Japan,545,6.4,-5.7
2020,Canada,398,4.6,-10.6
2020,South Korea,456,5.3,-2.4
2020,Ecuador,378,4.4,3.0
2020,Peru,367,4.3,3.1
2020,Chile,267,3.1,-4.0
2020,Other,1479,17.2,-4.3
2021,United States,3312,34.5,12.9
2021,European Union,1934,20.1,10.1
2021,Japan,623,6.5,14.3
2021,Canada,456,4.7,14.6
2021,South Korea,534,5.6,17.1
2021,Ecuador,423,4.4,11.9
2021,Peru,412,4.3,12.3
2021,Chile,298,3.1,11.6
2021,Other,1618,16.8,9.4
