Year,Country,Grain_Type,Import_Value_USD_Millions,Country_Share_Pct,Supplier_USA_Pct,Supplier_Argentina_Pct,Supplier_Brazil_Pct,Supplier_Other_Pct
2017,Colombia,Total,2134,42.3,52.4,28.3,12.1,7.2
2017,Colombia,Corn,1245,44.8,58.2,24.5,10.8,6.5
2017,Colombia,Wheat,534,38.2,42.3,35.6,15.2,6.9
2017,Colombia,Soybeans,355,41.5,48.7,32.4,12.3,6.6
2017,Peru,Total,1456,28.9,48.2,31.2,14.5,6.1
2017,Peru,Corn,823,29.6,54.3,27.8,12.1,5.8
2017,Peru,Wheat,412,29.5,38.4,36.2,18.2,7.2
2017,Peru,Soybeans,221,25.8,45.6,34.5,13.8,6.1
2017,Ecuador,Total,867,17.2,45.6,32.4,15.2,6.8
2017,Ecuador,Corn,478,17.2,52.1,28.9,12.3,6.7
2017,Ecuador,Wheat,234,16.7,36.2,38.4,18.5,6.9
2017,Ecuador,Soybeans,155,18.1,42.3,35.6,15.4,6.7
2017,Bolivia,Total,587,11.6,38.4,42.3,12.8,6.5
2017,Bolivia,Corn,234,8.4,42.5,38.2,13.2,6.1
2017,Bolivia,Wheat,218,15.6,32.4,48.5,12.3,6.8
2017,Bolivia,Soybeans,135,15.8,38.2,45.2,10.5,6.1
2018,Colombia,Total,2287,42.8,51.8,29.1,12.4,6.7
2018,Colombia,Corn,1334,45.2,57.5,25.2,10.9,6.4
2018,Colombia,Wheat,567,38.6,41.8,36.2,15.4,6.6
2018,Colombia,Soybeans,386,41.8,47.9,33.2,12.6,6.3
2018,Peru,Total,1523,28.5,47.8,31.8,14.8,5.6
2018,Peru,Corn,867,29.4,53.8,28.2,12.4,5.6
2018,Peru,Wheat,423,28.8,37.8,36.8,18.6,6.8
2018,Peru,Soybeans,233,25.2,45.2,35.2,14.1,5.5
2018,Ecuador,Total,912,17.1,45.2,32.8,15.5,6.5
2018,Ecuador,Corn,512,17.4,51.8,29.2,12.5,6.5
2018,Ecuador,Wheat,245,16.7,35.8,38.8,18.8,6.6
2018,Ecuador,Soybeans,155,16.8,41.8,36.2,15.8,6.2
2018,Bolivia,Total,620,11.6,37.8,43.2,12.6,6.4
2018,Bolivia,Corn,234,7.9,41.8,38.8,13.5,5.9
2018,Bolivia,Wheat,232,15.8,31.8,49.2,12.5,6.5
2018,Bolivia,Soybeans,154,16.7,37.5,45.8,10.8,5.9
2019,Colombia,Total,2412,43.1,51.2,29.5,12.8,6.5
2019,Colombia,Corn,1412,45.5,57.2,25.5,11.2,6.1
2019,Colombia,Wheat,589,38.8,41.5,36.5,15.6,6.4
2019,Colombia,Soybeans,411,42.1,47.2,33.8,12.9,6.1
2019,Peru,Total,1587,28.4,47.2,32.2,15.1,5.5
2019,Peru,Corn,902,29.1,53.2,28.5,12.8,5.5
2019,Peru,Wheat,445,29.3,37.2,37.2,18.9,6.7
2019,Peru,Soybeans,240,24.6,44.8,35.8,14.4,5.0
2019,Ecuador,Total,978,17.5,44.8,33.2,15.8,6.2
2019,Ecuador,Corn,556,17.9,51.2,29.5,12.8,6.5
2019,Ecuador,Wheat,256,16.9,35.2,39.2,19.1,6.5
2019,Ecuador,Soybeans,166,17.0,41.2,36.8,16.2,5.8
2019,Bolivia,Total,617,11.0,37.2,43.8,12.9,6.1
2019,Bolivia,Corn,232,7.5,41.2,39.2,13.8,5.8
2019,Bolivia,Wheat,228,15.0,31.2,49.8,12.8,6.2
2019,Bolivia,Soybeans,157,16.1,36.8,46.2,11.2,5.8
2020,Colombia,Total,2234,42.5,50.5,30.2,13.1,6.2
