Date,Commodity,Domestic_Price_Index,International_Price_Index,USD_COP_Index,Volatility_12M_Pct,Correlation_Int,Pass_Through_Pct,Structural_Break
2018-01,Corn,100.0,100.0,100.0,8.2,0.73,68,0
2018-01,Rice,100.0,100.0,100.0,6.4,0.38,42,0
2018-01,Wheat,100.0,100.0,100.0,7.1,0.62,58,0
2018-06,Corn,104.7,101.1,108.2,8.5,0.73,68,0
2018-06,Rice,98.2,98.5,104.7,6.2,0.38,42,0
2018-06,Wheat,102.3,99.2,108.2,7.3,0.62,58,0
2018-12,Corn,106.3,107.4,113.6,9.1,0.73,68,0
2018-12,Rice,98.7,97.8,111.8,6.8,0.38,42,0
2018-12,Wheat,104.5,102.4,113.6,7.8,0.62,58,0
2019-06,Corn,107.9,126.4,117.4,10.2,0.73,68,0
2019-06,Rice,98.2,99.2,117.4,7.1,0.38,42,0
2019-06,Wheat,106.8,105.6,117.4,8.2,0.62,58,0
2019-12,Corn,106.3,107.4,116.2,9.8,0.73,68,0
2019-12,Rice,98.7,98.5,111.8,6.5,0.38,42,0
2019-12,Wheat,105.2,103.8,116.2,7.6,0.62,58,0
2020-03,Corn,105.6,98.0,134.6,12.4,0.73,68,1
2020-03,Rice,105.0,102.3,123.2,8.9,0.38,42,1
2020-03,Wheat,108.4,98.5,134.6,10.2,0.62,58,1
2020-06,Corn,102.7,94.3,132.5,14.8,0.73,68,1
2020-06,Rice,107.7,104.5,121.4,9.4,0.38,42,1
2020-06,Wheat,110.2,96.2,132.5,11.6,0.62,58,1
2020-12,Corn,108.6,126.4,120.1,16.2,0.73,68,1
2020-12,Rice,105.0,101.8,110.0,8.2,0.38,42,1
2020-12,Wheat,112.4,108.5,120.1,12.4,0.62,58,1
2021-06,Corn,127.6,183.2,132.5,18.5,0.73,68,1
2021-06,Rice,106.4,105.2,121.4,7.8,0.38,42,1
2021-06,Wheat,118.6,124.5,132.5,14.2,0.62,58,1
2021-12,Corn,130.0,167.3,139.2,17.8,0.73,68,1
2021-12,Rice,108.1,106.8,127.5,8.4,0.38,42,1
2021-12,Wheat,122.4,128.2,139.2,13.8,0.62,58,1
2022-03,Corn,143.4,214.8,144.2,22.4,0.73,72,1
2022-03,Rice,109.5,108.4,132.1,9.2,0.38,46,1
2022-03,Wheat,134.6,178.5,144.2,18.6,0.62,64,1
2022-06,Corn,159.2,211.6,148.8,24.6,0.73,74,1
2022-06,Rice,111.8,110.2,136.4,9.8,0.38,48,1
2022-06,Wheat,142.8,186.4,148.8,20.4,0.62,66,1
2022-09,Corn,159.2,192.6,157.8,21.2,0.73,72,1
2022-09,Rice,107.7,106.5,144.6,8.6,0.38,44,1
2022-09,Wheat,138.4,168.2,157.8,18.2,0.62,62,1
2022-12,Corn,163.1,183.2,168.4,19.8,0.73,70,1
2022-12,Rice,113.1,109.8,154.2,9.4,0.38,46,1
2022-12,Wheat,136.8,162.4,168.4,16.8,0.62,60,1
