Date,Brent_USD_Barrel,Brent_Index,Diesel_Index_Colombia,Transport_Cost_Index,Brent_MoM_Pct,Transport_MoM_Pct
2018-01,69.08,100.0,100.0,100.0,0.0,0.0
2018-02,65.32,94.6,99.2,99.4,-5.4,-0.6
2018-03,66.02,95.6,99.5,99.6,1.1,0.2
2018-04,72.11,104.4,101.2,100.8,9.2,1.2
2018-05,76.98,111.4,102.8,101.6,6.8,0.8
2018-06,74.41,107.7,103.4,102.1,-3.3,0.5
2018-07,74.25,107.5,103.8,102.4,-0.2,0.3
2018-08,72.53,105.0,103.5,102.2,-2.3,-0.2
2018-09,78.89,114.2,104.8,103.2,8.8,1.0
2018-10,81.03,117.3,106.2,104.1,2.7,0.9
2018-11,64.75,93.7,105.4,103.8,-20.1,-0.3
2018-12,57.36,83.0,104.2,103.2,-11.4,-0.6
2019-01,59.41,86.0,103.8,102.9,3.6,-0.3
2019-02,64.00,92.6,104.2,103.1,7.7,0.2
2019-03,66.14,95.7,104.8,103.5,3.3,0.4
2019-04,71.23,103.1,105.6,104.0,7.7,0.5
2019-05,70.78,102.5,105.8,104.2,-0.6,0.2
2019-06,64.22,93.0,105.2,103.8,-9.3,-0.4
2019-07,63.92,92.5,105.0,103.6,-0.5,-0.2
2019-08,59.04,85.5,104.4,103.2,-7.6,-0.4
2019-09,62.83,90.9,104.8,103.4,6.4,0.2
2019-10,59.71,86.4,104.5,103.2,-5.0,-0.2
2019-11,63.21,91.5,104.8,103.5,5.9,0.3
2019-12,67.31,97.4,105.4,104.0,6.5,0.5
2020-01,63.65,92.1,105.2,103.8,-5.4,-0.2
2020-02,55.66,80.6,104.6,103.4,-12.5,-0.4
2020-03,32.01,46.3,101.8,102.2,-42.5,-1.2
2020-04,18.38,26.6,98.2,100.5,-42.6,-1.7
2020-05,29.38,42.5,99.4,100.8,59.9,0.3
2020-06,40.27,58.3,100.8,101.4,37.1,0.6
2020-07,43.24,62.6,101.4,101.8,7.4,0.4
2020-08,44.74,64.8,101.8,102.1,3.5,0.3
2020-09,41.56,60.2,101.4,101.8,-7.1,-0.3
2020-10,40.21,58.2,101.2,101.6,-3.2,-0.2
2020-11,43.98,63.7,101.6,101.9,9.4,0.3
2020-12,49.99,72.4,102.4,102.5,13.7,0.6
2021-01,55.04,79.7,103.2,103.1,10.1,0.6
2021-02,61.32,88.8,104.2,103.8,11.4,0.7
2021-03,64.86,93.9,105.0,104.4,5.8,0.6
2021-04,65.32,94.6,105.4,104.7,0.7,0.3
2021-05,68.32,98.9,106.2,105.2,4.6,0.5
2021-06,73.47,106.4,107.4,106.0,7.5,0.8
2021-07,74.45,107.8,108.2,106.6,1.3,0.6
2021-08,70.73,102.4,107.6,106.2,-5.0,-0.4
2021-09,74.81,108.3,108.4,106.8,5.8,0.6
2021-10,83.54,120.9,110.4,108.2,11.7,1.3
2021-11,80.79,116.9,111.2,108.8,-3.3,0.6
2021-12,74.17,107.4,110.4,108.2,-8.2,-0.6
2022-01,86.51,125.2,112.8,110.4,16.6,2.0
2022-02,95.95,138.9,116.4,113.2,10.9,2.5
2022-03,117.25,169.7,122.8,118.5,22.2,4.7
2022-04,104.58,151.4,124.2,120.2,-10.8,1.4
2022-05,113.34,164.1,126.8,122.4,8.4,1.8
2022-06,117.59,170.2,128.4,124.0,3.7,1.3
2022-07,105.14,152.2,127.2,123.2,-10.6,-0.6
2022-08,99.73,144.4,125.8,122.1,-5.1,-0.9
2022-09,90.40,130.9,124.2,121.0,-9.4,-0.9
2022-10,93.27,135.0,124.8,121.4,3.2,0.3
2022-11,92.61,134.1,124.4,121.2,-0.7,-0.2
2022-12,81.34,117.7,122.8,119.8,-12.2,-1.2
