Date,Rice_Paddy_COP_Kg,Rice_White_COP_Kg,USD_COP,Harvest_Major,Harvest_Minor,Rice_White_Index,USD_COP_Index
2019-01,1245,2456,3120,0,0,100.0,100.0
2019-02,1267,2478,3145,0,0,100.9,100.8
2019-03,1234,2412,3178,0,1,98.2,101.9
2019-04,1198,2345,3198,0,1,95.5,102.5
2019-05,1212,2378,3234,0,0,96.8,103.7
2019-06,1234,2412,3267,0,0,98.2,104.7
2019-07,1256,2445,3312,0,0,99.6,106.2
2019-08,1198,2312,3356,1,0,94.1,107.6
2019-09,1167,2289,3398,1,0,93.2,108.9
2019-10,1189,2334,3423,0,0,95.0,109.7
2019-11,1212,2378,3456,0,0,96.8,110.8
2019-12,1234,2423,3489,0,0,98.7,111.8
2020-01,1256,2467,3512,0,0,100.4,112.6
2020-02,1278,2512,3545,0,0,102.3,113.6
2020-03,1312,2578,3845,0,1,105.0,123.2
2020-04,1345,2634,4012,0,1,107.2,128.6
2020-05,1378,2689,3956,0,0,109.5,126.8
2020-06,1356,2645,3789,0,0,107.7,121.4
2020-07,1334,2612,3678,0,0,106.4,117.9
2020-08,1289,2534,3712,1,0,103.2,119.0
2020-09,1256,2478,3745,1,0,100.9,120.0
2020-10,1278,2512,3812,0,0,102.3,122.2
2020-11,1298,2545,3756,0,0,103.6,120.4
2020-12,1312,2578,3432,0,0,105.0,110.0
2021-01,1334,2612,3512,0,0,106.4,112.6
2021-02,1356,2656,3578,0,0,108.1,114.7
2021-03,1312,2589,3634,0,1,105.4,116.5
2021-04,1278,2534,3698,0,1,103.2,118.5
2021-05,1298,2567,3745,0,0,104.5,120.0
2021-06,1323,2612,3789,0,0,106.4,121.4
2021-07,1345,2656,3823,0,0,108.1,122.5
2021-08,1289,2578,3867,1,0,105.0,123.9
2021-09,1256,2523,3912,1,0,102.7,125.4
2021-10,1278,2567,3845,0,0,104.5,123.2
2021-11,1312,2612,3912,0,0,106.4,125.4
2021-12,1334,2656,3978,0,0,108.1,127.5
2022-01,1378,2712,3945,0,0,110.4,126.4
2022-02,1412,2778,3998,0,0,113.1,128.1
2022-03,1356,2689,4123,0,1,109.5,132.1
2022-04,1312,2612,4234,0,1,106.4,135.7
2022-05,1345,2678,4312,0,0,109.0,138.2
2022-06,1389,2745,4256,0,0,111.8,136.4
2022-07,1423,2812,4389,0,0,114.5,140.7
2022-08,1356,2712,4456,1,0,110.4,142.8
2022-09,1312,2645,4512,1,0,107.7,144.6
2022-10,1345,2689,4678,0,0,109.5,149.9
2022-11,1378,2734,4823,0,0,111.3,154.6
2022-12,1398,2778,4812,0,0,113.1,154.2
