Date,CBOT_Corn_USD_Bushel,CBOT_Index,Colombia_Corn_COP_Kg,Colombia_Index,USD_COP,Lag_0_Corr,Lag_2_Corr
2018-01,3.52,100.0,845,100.0,2856,0.73,0.79
2018-02,3.67,104.3,852,100.8,2912,0.73,0.79
2018-03,3.78,107.4,867,102.6,2978,0.73,0.79
2018-04,3.89,110.5,878,103.9,3012,0.73,0.79
2018-05,4.02,114.2,892,105.6,3045,0.73,0.79
2018-06,3.56,101.1,885,104.7,3089,0.73,0.79
2018-07,3.45,98.0,876,103.7,2945,0.73,0.79
2018-08,3.58,101.7,882,104.4,2987,0.73,0.79
2018-09,3.52,100.0,878,103.9,2956,0.73,0.79
2018-10,3.67,104.3,885,104.7,3012,0.73,0.79
2018-11,3.72,105.7,892,105.6,3156,0.73,0.79
2018-12,3.78,107.4,898,106.3,3245,0.73,0.79
2019-01,3.72,105.7,895,105.9,3189,0.73,0.79
2019-02,3.67,104.3,889,105.2,3145,0.73,0.79
2019-03,3.62,102.8,885,104.7,3178,0.73,0.79
2019-04,3.56,101.1,878,103.9,3234,0.73,0.79
2019-05,4.12,117.0,892,105.6,3312,0.73,0.79
2019-06,4.45,126.4,912,107.9,3356,0.73,0.79
2019-07,4.23,120.2,925,109.5,3398,0.73,0.79
2019-08,3.89,110.5,918,108.6,3423,0.73,0.79
2019-09,3.72,105.7,905,107.1,3456,0.73,0.79
2019-10,3.78,107.4,898,106.3,3489,0.73,0.79
2019-11,3.72,105.7,895,105.9,3512,0.73,0.79
2019-12,3.78,107.4,898,106.3,3312,0.73,0.79
2020-01,3.82,108.5,902,106.7,3345,0.73,0.79
2020-02,3.78,107.4,898,106.3,3412,0.73,0.79
2020-03,3.45,98.0,892,105.6,3845,0.73,0.79
2020-04,3.23,91.8,878,103.9,4012,0.73,0.79
2020-05,3.18,90.3,872,103.2,3956,0.73,0.79
2020-06,3.32,94.3,868,102.7,3789,0.73,0.79
2020-07,3.28,93.2,865,102.4,3678,0.73,0.79
2020-08,3.18,90.3,858,101.5,3712,0.73,0.79
2020-09,3.56,101.1,862,102.0,3745,0.73,0.79
2020-10,3.89,110.5,878,103.9,3812,0.73,0.79
2020-11,4.12,117.0,895,105.9,3756,0.73,0.79
2020-12,4.45,126.4,918,108.6,3432,0.73,0.79
2021-01,5.12,145.5,945,111.8,3512,0.73,0.79
2021-02,5.45,154.8,968,114.6,3578,0.73,0.79
2021-03,5.56,158.0,985,116.6,3634,0.73,0.79
2021-04,5.89,167.3,1012,119.8,3698,0.73,0.79
2021-05,6.78,192.6,1056,125.0,3745,0.73,0.79
2021-06,6.45,183.2,1078,127.6,3789,0.73,0.79
2021-07,5.56,158.0,1089,128.9,3823,0.73,0.79
2021-08,5.45,154.8,1078,127.6,3867,0.73,0.79
2021-09,5.23,148.6,1065,126.0,3912,0.73,0.79
2021-10,5.34,151.7,1072,126.9,3845,0.73,0.79
2021-11,5.78,164.2,1089,128.9,3912,0.73,0.79
2021-12,5.89,167.3,1098,130.0,3978,0.73,0.79
2022-01,6.12,173.9,1125,133.1,3945,0.73,0.79
2022-02,6.45,183.2,1145,135.5,3998,0.73,0.79
2022-03,7.56,214.8,1212,143.4,4123,0.73,0.79
2022-04,7.89,224.1,1278,151.2,4234,0.73,0.79
2022-05,7.78,221.0,1312,155.3,4312,0.73,0.79
2022-06,7.45,211.6,1345,159.2,4256,0.73,0.79
2022-07,5.89,167.3,1378,163.1,4389,0.73,0.79
2022-08,6.12,173.9,1356,160.5,4456,0.73,0.79
2022-09,6.78,192.6,1345,159.2,4512,0.73,0.79
2022-10,6.89,195.7,1378,163.1,4678,0.73,0.79
2022-11,6.56,186.4,1389,164.4,4823,0.73,0.79
2022-12,6.45,183.2,1378,163.1,4812,0.73,0.79
