date,usdcop,brent_usd,corn_cbot_usd_bu,rice_sipsa_cop_kg,wheat_cbot_usd_bu,soybean_cbot_usd_bu,import_cost_index,volatility_index
2019-01,3163.45,59.41,3.78,2845,5.21,9.12,100.00,12.4
2019-06,3234.67,64.22,4.12,2912,5.05,8.89,102.26,11.8
2019-12,3287.12,67.77,3.89,2867,5.45,9.34,103.92,10.2
2020-01,3435.87,63.21,3.82,2889,5.67,9.28,108.62,12.8
2020-06,3729.45,40.27,3.32,2756,4.89,8.76,117.91,18.4
2020-12,3432.78,49.99,4.28,2934,6.12,12.45,108.54,14.6
2021-01,3545.23,55.04,5.12,3012,6.45,13.67,112.09,13.2
2021-06,3745.23,73.47,6.78,3189,6.89,14.23,118.42,11.8
2021-12,3981.23,74.17,5.92,3256,7.78,12.89,125.88,12.4
2022-01,3945.67,86.51,6.12,3312,7.45,14.12,124.76,14.8
2022-06,4145.23,117.51,7.45,3512,10.56,16.78,131.07,22.6
2022-12,4810.23,80.92,6.67,3478,7.89,14.56,152.10,18.4
2023-01,4678.90,82.12,6.78,3423,7.56,15.12,147.95,15.6
2023-06,4289.45,74.96,6.12,3267,6.45,13.89,135.64,12.8
2023-12,3912.78,77.63,4.78,3156,6.12,12.78,123.72,11.2
