date,usdcop,usdcop_pct_change,brent_usd,import_cost_index,volatility_30d
2020-01,3435.87,0.00,63.21,100.00,8.2
2020-02,3413.56,-0.65,55.66,99.35,9.1
2020-03,3908.45,14.49,32.18,113.76,28.4
2020-04,3973.60,1.67,19.53,115.65,32.1
2020-05,3842.12,-3.31,29.38,111.83,18.7
2020-06,3729.45,-2.93,40.27,108.55,12.4
2020-07,3647.23,-2.20,43.24,106.16,10.8
2020-08,3756.89,3.01,44.74,109.35,11.2
2020-09,3812.34,1.48,40.93,110.96,13.6
2020-10,3845.67,0.87,40.46,111.93,12.1
2020-11,3623.45,-5.78,43.86,105.46,14.8
2020-12,3432.78,-5.26,49.99,99.91,11.3
2021-01,3545.23,3.28,55.04,103.18,9.7
2021-02,3612.56,1.90,62.22,105.14,8.9
2021-03,3678.90,1.84,64.67,107.07,9.2
2021-04,3756.12,2.10,66.11,109.32,8.4
2021-05,3678.45,-2.07,68.32,107.05,9.8
2021-06,3745.23,1.81,73.47,108.99,8.1
2021-07,3878.90,3.57,74.56,112.88,10.2
2021-08,3834.56,-1.14,70.56,111.59,9.4
2021-09,3812.34,-0.58,74.78,110.94,8.7
2021-10,3789.45,-0.60,83.54,110.28,9.1
2021-11,3956.78,4.42,80.79,115.15,12.3
2021-12,3981.23,0.62,74.17,115.87,10.8
2022-01,3945.67,-0.89,86.51,114.83,11.4
2022-02,3912.34,-0.84,95.99,113.86,13.2
2022-03,3756.89,-3.97,112.84,109.34,18.6
2022-04,3812.45,1.48,104.58,110.96,15.4
2022-05,3923.67,2.92,110.28,114.19,12.8
2022-06,4145.23,5.65,117.51,120.63,14.7
2022-07,4356.78,5.10,106.63,126.79,16.2
2022-08,4312.45,-1.02,99.55,125.50,13.9
2022-09,4512.34,4.63,89.83,131.32,17.8
2022-10,4823.56,6.90,93.57,140.38,21.4
2022-11,4745.67,-1.62,89.23,138.11,18.6
2022-12,4810.23,1.36,80.92,139.99,15.3
2023-01,4678.90,-2.73,82.12,136.17,14.1
2023-02,4756.34,1.65,83.05,138.42,12.8
2023-03,4812.45,1.18,78.21,140.05,13.4
2023-04,4645.67,-3.47,84.67,135.20,11.9
2023-05,4534.23,-2.40,75.82,131.96,12.6
2023-06,4289.45,-5.40,74.96,124.84,10.8
2023-07,4012.34,-6.46,79.54,116.78,11.2
2023-08,4089.67,1.93,85.72,119.03,10.4
2023-09,4123.45,0.83,93.68,120.01,11.8
2023-10,4198.67,1.82,90.92,122.20,10.6
2023-11,4045.23,-3.65,82.45,117.73,9.8
2023-12,3912.78,-3.27,77.63,113.88,8.9
