year,country,crop,biotech_area_mha,total_area_mha,adoption_rate_pct,yield_biotech_ton_ha,yield_conv_ton_ha,yield_premium_pct
2015,Brazil,Soybean,32.2,33.3,96.7,3.02,2.85,6.0
2015,Brazil,Corn,15.1,15.9,95.0,5.48,4.89,12.1
2015,Brazil,Cotton,0.89,0.98,90.8,4.12,3.67,12.3
2015,Argentina,Soybean,20.3,20.5,99.0,2.89,2.71,6.6
2015,Argentina,Corn,3.8,4.1,92.7,7.85,6.92,13.4
2015,Argentina,Cotton,0.38,0.42,90.5,1.95,1.72,13.4
2015,Paraguay,Soybean,3.2,3.4,94.1,2.78,2.58,7.8
2015,Colombia,Cotton,0.028,0.035,80.0,2.45,2.18,12.4
2018,Brazil,Soybean,34.8,35.8,97.2,3.38,3.15,7.3
2018,Brazil,Corn,16.3,17.1,95.3,5.89,5.21,13.1
2018,Brazil,Cotton,1.12,1.21,92.6,4.45,3.89,14.4
2018,Argentina,Soybean,18.2,18.4,98.9,2.52,2.38,5.9
2018,Argentina,Corn,5.4,5.8,93.1,8.12,7.15,13.6
2018,Argentina,Cotton,0.35,0.38,92.1,2.08,1.82,14.3
2018,Paraguay,Soybean,3.5,3.7,94.6,2.92,2.68,9.0
2018,Colombia,Cotton,0.032,0.038,84.2,2.58,2.25,14.7
2021,Brazil,Soybean,39.2,40.2,97.5,3.52,3.28,7.3
2021,Brazil,Corn,19.8,20.6,96.1,5.78,5.08,13.8
2021,Brazil,Cotton,1.45,1.54,94.2,4.89,4.21,16.2
2021,Argentina,Soybean,16.8,17.0,98.8,2.38,2.25,5.8
2021,Argentina,Corn,7.2,7.6,94.7,8.45,7.32,15.4
2021,Argentina,Cotton,0.42,0.45,93.3,2.18,1.89,15.3
2021,Paraguay,Soybean,3.8,4.0,95.0,3.12,2.82,10.6
2021,Colombia,Cotton,0.025,0.030,83.3,2.72,2.35,15.7
2023,Brazil,Soybean,42.5,43.5,97.7,3.68,3.42,7.6
2023,Brazil,Corn,21.2,22.0,96.4,6.12,5.32,15.0
2023,Brazil,Cotton,1.68,1.76,95.5,5.12,4.38,16.9
2023,Argentina,Soybean,17.5,17.8,98.3,2.45,2.32,5.6
2023,Argentina,Corn,8.1,8.5,95.3,8.78,7.56,16.1
2023,Argentina,Cotton,0.48,0.51,94.1,2.28,1.95,16.9
2023,Paraguay,Soybean,4.1,4.3,95.3,3.28,2.95,11.2
2023,Colombia,Cotton,0.022,0.028,78.6,2.85,2.42,17.8
