year,partner,export_value_usd_m,import_value_usd_m,trade_balance_usd_m,export_share_pct,top_export_hs4,top_import_hs4
2019,United States,3245.8,1892.4,1353.4,35.2,0901,1005
2019,European Union,2012.5,456.8,1555.7,21.8,0603,1001
2019,China,412.6,1245.7,-833.1,4.5,0901,3102
2019,Japan,398.4,125.6,272.8,4.3,0901,8703
2019,South Korea,345.2,312.4,32.8,3.7,0901,8517
2019,Ecuador,512.3,287.6,224.7,5.6,1704,1005
2019,Peru,278.9,189.4,89.5,3.0,1806,0713
2019,Mexico,312.5,678.9,-366.4,3.4,0603,8471
2019,Canada,198.7,234.5,-35.8,2.2,0901,1001
2019,Chile,189.4,156.8,32.6,2.1,1704,0303
2020,United States,2987.4,1678.5,1308.9,34.8,0901,1005
2020,European Union,1845.6,389.2,1456.4,21.5,0603,1001
2020,China,478.9,1156.8,-677.9,5.6,0901,3102
2020,Japan,367.8,98.4,269.4,4.3,0901,8703
2020,South Korea,312.6,278.9,33.7,3.6,0901,8517
2020,Ecuador,478.5,256.4,222.1,5.6,1704,1005
2020,Peru,256.7,167.8,88.9,3.0,1806,0713
2020,Mexico,287.4,612.3,-324.9,3.4,0603,8471
2020,Canada,178.9,198.7,-19.8,2.1,0901,1001
2020,Chile,167.8,134.5,33.3,2.0,1704,0303
2021,United States,3156.7,1945.6,1211.1,34.2,0901,1005
2021,European Union,1978.4,423.5,1554.9,21.4,0603,1001
2021,China,534.2,1378.9,-844.7,5.8,0901,3102
2021,Japan,412.5,134.6,277.9,4.5,0901,8703
2021,South Korea,378.4,345.6,32.8,4.1,0901,8517
2021,Ecuador,523.6,298.7,224.9,5.7,1704,1005
2021,Peru,289.4,198.5,90.9,3.1,1806,0713
2021,Mexico,334.5,723.4,-388.9,3.6,0603,8471
2021,Canada,212.3,256.7,-44.4,2.3,0901,1001
2021,Chile,198.6,178.4,20.2,2.2,1704,0303
2022,United States,3345.8,2156.7,1189.1,33.8,0901,1005
2022,European Union,2089.5,478.9,1610.6,21.1,0603,1001
2022,China,612.4,1512.3,-899.9,6.2,0901,3102
2022,Japan,445.6,156.8,288.8,4.5,0901,8703
2022,South Korea,412.3,389.4,22.9,4.2,0901,8517
2022,Ecuador,567.8,334.5,233.3,5.7,1704,1005
2022,Peru,312.5,223.4,89.1,3.2,1806,0713
2022,Mexico,378.9,812.3,-433.4,3.8,0603,8471
2022,Canada,234.5,289.6,-55.1,2.4,0901,1001
2022,Chile,223.4,198.7,24.7,2.3,1704,0303
2023,United States,3512.4,2278.9,1233.5,33.5,0901,1005
2023,European Union,2198.7,512.3,1686.4,21.0,0603,1001
2023,China,678.9,1623.4,-944.5,6.5,0901,3102
2023,Japan,478.5,178.9,299.6,4.6,0901,8703
2023,South Korea,445.6,412.3,33.3,4.3,0901,8517
2023,Ecuador,598.7,356.8,241.9,5.7,1704,1005
2023,Peru,334.6,245.6,89.0,3.2,1806,0713
2023,Mexico,412.3,878.9,-466.6,3.9,0603,8471
2023,Canada,256.7,312.4,-55.7,2.5,0901,1001
2023,Chile,245.6,212.3,33.3,2.3,1704,0303
