date,corn_actual,corn_forecast,rice_actual,rice_forecast,wheat_actual,wheat_forecast,mape_corn,mape_rice,mape_wheat
2015-01,148.67,152.34,2345.78,2312.45,213.45,218.67,2.47,1.42,2.44
2015-06,156.78,154.23,2412.34,2398.67,198.34,201.23,1.63,0.57,1.46
2016-01,142.34,145.67,2389.45,2367.89,175.23,178.45,2.34,0.90,1.84
2016-06,158.90,155.78,2456.78,2423.45,182.56,185.23,1.96,1.36,1.46
2017-01,154.23,157.89,2478.90,2445.67,168.34,172.56,2.37,1.34,2.51
2017-06,148.67,151.23,2489.23,2467.89,175.45,178.34,1.72,0.86,1.65
2018-01,152.34,149.78,2523.45,2498.67,178.56,182.45,1.68,0.98,2.18
2018-06,167.89,164.23,2589.67,2556.78,189.34,193.56,2.18,1.27,2.23
2019-01,156.78,159.45,2567.89,2534.56,198.45,195.67,1.70,1.30,1.40
2019-06,162.34,158.67,2612.34,2589.45,185.67,188.45,2.26,0.88,1.50
2020-01,158.45,161.78,2634.56,2612.34,212.34,208.67,2.10,0.84,1.73
2020-06,145.67,148.23,2678.90,2656.78,195.67,199.45,1.76,0.83,1.93
2021-01,198.45,192.34,2845.67,2798.45,256.78,248.56,3.08,1.66,3.20
2021-06,234.56,226.78,2978.90,2934.56,278.45,268.34,3.32,1.49,3.63
2022-01,267.89,258.45,3145.67,3089.34,312.45,298.67,3.52,1.79,4.41
2022-06,312.34,298.67,3234.56,3178.90,356.78,342.45,4.38,1.72,4.02
2023-01,256.78,262.34,3267.45,3234.56,278.56,285.67,2.17,1.01,2.55
2023-06,234.45,228.67,3189.34,3156.78,256.78,262.34,2.46,1.02,2.17
2024-01,198.45,202.34,3089.45,3056.78,234.67,238.45,1.96,1.06,1.61
2024-06,187.34,183.67,2978.67,2945.34,218.45,222.67,1.96,1.12,1.93
