year,crop,region,biotech_adoption_pct,price_volatility_cv,yield_growth_pct,area_mha
2010,Soybean,Brazil,76.2,18.4,2.1,23.3
2010,Corn,Brazil,56.8,22.1,3.4,12.7
2010,Soybean,Argentina,99.0,16.2,1.8,18.3
2010,Corn,Argentina,85.2,19.8,2.9,3.2
2012,Soybean,Brazil,88.8,21.3,2.8,25.1
2012,Corn,Brazil,82.4,24.6,4.2,14.2
2012,Soybean,Argentina,99.2,18.9,2.1,19.4
2012,Corn,Argentina,90.5,21.4,3.5,4.1
2014,Soybean,Brazil,93.2,19.8,3.1,30.3
2014,Corn,Brazil,89.7,23.1,4.8,15.3
2014,Soybean,Argentina,99.1,17.6,1.9,19.8
2014,Corn,Argentina,92.8,20.2,4.1,5.2
2016,Soybean,Brazil,96.5,24.6,2.4,33.2
2016,Corn,Brazil,93.4,28.4,3.9,16.2
2016,Soybean,Argentina,98.9,22.8,1.4,18.5
2016,Corn,Argentina,94.1,25.6,3.2,5.8
2018,Soybean,Brazil,97.2,20.1,3.8,35.8
2018,Corn,Brazil,95.3,26.2,4.5,17.1
2018,Soybean,Argentina,98.9,23.4,-2.8,18.4
2018,Corn,Argentina,93.1,28.9,2.1,5.8
2020,Soybean,Brazil,97.4,32.6,4.2,38.5
2020,Corn,Brazil,95.8,35.8,2.8,18.5
2020,Soybean,Argentina,98.8,29.4,3.1,16.9
2020,Corn,Argentina,94.5,33.2,4.8,7.1
2022,Soybean,Brazil,97.6,28.4,3.1,41.5
2022,Corn,Brazil,96.2,31.2,5.2,21.8
2022,Soybean,Argentina,98.7,34.8,-8.2,16.2
2022,Corn,Argentina,95.1,38.6,-5.4,7.8
2024,Soybean,Brazil,97.8,22.1,4.5,44.2
2024,Corn,Brazil,96.5,24.8,4.8,23.1
2024,Soybean,Argentina,98.6,26.2,12.4,18.2
2024,Corn,Argentina,95.4,28.4,8.9,8.5
