date,series_id,value,series_name,unit,source
2015-01,DCOILBRENTEU,47.76,Brent Crude Oil,USD/barrel,FRED
2015-01,PCOFFOTMUSDM,156.23,Coffee Arabica,USD/lb,FRED
2015-01,PWHEAMTUSDM,213.45,Wheat,USD/MT,FRED
2015-01,PMAABORAUSDM,172.34,Corn,USD/MT,FRED
2016-01,DCOILBRENTEU,30.70,Brent Crude Oil,USD/barrel,FRED
2016-01,PCOFFOTMUSDM,118.92,Coffee Arabica,USD/lb,FRED
2016-01,PWHEAMTUSDM,175.23,Wheat,USD/MT,FRED
2016-01,PMAABORAUSDM,156.78,Corn,USD/MT,FRED
2017-01,DCOILBRENTEU,54.58,Brent Crude Oil,USD/barrel,FRED
2017-01,PCOFFOTMUSDM,143.56,Coffee Arabica,USD/lb,FRED
2017-01,PWHEAMTUSDM,168.34,Wheat,USD/MT,FRED
2017-01,PMAABORAUSDM,154.23,Corn,USD/MT,FRED
2018-01,DCOILBRENTEU,69.08,Brent Crude Oil,USD/barrel,FRED
2018-01,PCOFFOTMUSDM,123.45,Coffee Arabica,USD/lb,FRED
2018-01,PWHEAMTUSDM,178.56,Wheat,USD/MT,FRED
2018-01,PMAABORAUSDM,148.67,Corn,USD/MT,FRED
2019-01,DCOILBRENTEU,59.41,Brent Crude Oil,USD/barrel,FRED
2019-01,PCOFFOTMUSDM,102.34,Coffee Arabica,USD/lb,FRED
2019-01,PWHEAMTUSDM,198.45,Wheat,USD/MT,FRED
2019-01,PMAABORAUSDM,152.34,Corn,USD/MT,FRED
2020-01,DCOILBRENTEU,63.21,Brent Crude Oil,USD/barrel,FRED
2020-01,PCOFFOTMUSDM,112.67,Coffee Arabica,USD/lb,FRED
2020-01,PWHEAMTUSDM,212.34,Wheat,USD/MT,FRED
2020-01,PMAABORAUSDM,156.78,Corn,USD/MT,FRED
2021-01,DCOILBRENTEU,55.04,Brent Crude Oil,USD/barrel,FRED
2021-01,PCOFFOTMUSDM,128.45,Coffee Arabica,USD/lb,FRED
2021-01,PWHEAMTUSDM,256.78,Wheat,USD/MT,FRED
2021-01,PMAABORAUSDM,198.45,Corn,USD/MT,FRED
2022-01,DCOILBRENTEU,86.51,Brent Crude Oil,USD/barrel,FRED
2022-01,PCOFFOTMUSDM,234.56,Coffee Arabica,USD/lb,FRED
2022-01,PWHEAMTUSDM,312.45,Wheat,USD/MT,FRED
2022-01,PMAABORAUSDM,267.89,Corn,USD/MT,FRED
2023-01,DCOILBRENTEU,82.12,Brent Crude Oil,USD/barrel,FRED
2023-01,PCOFFOTMUSDM,178.34,Coffee Arabica,USD/lb,FRED
2023-01,PWHEAMTUSDM,278.56,Wheat,USD/MT,FRED
2023-01,PMAABORAUSDM,256.78,Corn,USD/MT,FRED
2024-01,DCOILBRENTEU,78.45,Brent Crude Oil,USD/barrel,FRED
2024-01,PCOFFOTMUSDM,189.23,Coffee Arabica,USD/lb,FRED
2024-01,PWHEAMTUSDM,234.67,Wheat,USD/MT,FRED
2024-01,PMAABORAUSDM,198.45,Corn,USD/MT,FRED
