date,usdcop,inflation_pct,interest_rate_pct,corn_price_cop,rice_price_cop,gdp_growth_pct,oil_price_usd
2015-01,2392.46,3.82,4.50,1245.67,2345.78,3.1,47.76
2015-06,2585.34,4.42,4.50,1312.45,2412.34,2.8,61.48
2015-12,3149.47,6.77,5.75,1456.78,2534.56,3.1,37.28
2016-06,2916.15,8.60,7.50,1389.23,2478.90,2.0,48.76
2016-12,3000.71,5.75,7.50,1423.56,2512.34,2.1,54.96
2017-06,2998.78,3.99,5.75,1378.90,2456.78,1.8,47.92
2017-12,2984.00,4.09,4.75,1398.45,2489.23,1.4,64.37
2018-06,2931.14,3.20,4.25,1412.67,2523.45,2.6,74.41
2018-12,3249.75,3.18,4.25,1534.23,2612.78,2.5,57.36
2019-06,3234.67,3.43,4.25,1489.56,2567.89,3.0,64.22
2019-12,3287.12,3.80,4.25,1512.34,2589.45,3.3,67.77
2020-06,3729.45,2.19,2.50,1623.78,2678.90,-6.8,40.27
2020-12,3432.78,1.61,1.75,1578.45,2634.56,-6.8,49.99
2021-06,3745.23,3.63,1.75,1789.34,2845.67,10.7,73.47
2021-12,3981.23,5.62,3.00,1923.56,2978.90,10.7,74.17
2022-06,4145.23,9.67,7.50,2145.78,3234.56,7.5,117.51
2022-12,4810.23,13.12,12.00,2312.45,3478.90,7.5,80.92
2023-06,4289.45,12.13,13.25,2089.67,3267.45,0.6,74.96
2023-12,3912.78,9.28,13.00,1934.56,3156.78,0.6,77.63
2024-06,3978.45,7.18,11.75,1878.90,3089.45,1.5,82.34
2024-12,4123.67,5.42,9.50,1823.45,2978.67,1.5,74.56
