country,quarter,vulnerability_index,exchange_rate_volatility,food_price_inflation,import_dependence
Colombia,2020-Q1,42.3,8.2,4.1,0.28
Colombia,2021-Q1,51.8,12.4,7.3,0.31
Colombia,2022-Q1,68.4,18.9,12.8,0.35
Colombia,2023-Q1,54.2,14.1,8.6,0.32
Colombia,2024-Q1,46.8,10.5,5.2,0.29
Brazil,2020-Q1,38.6,7.5,3.8,0.18
Brazil,2021-Q1,47.2,10.8,6.4,0.21
Brazil,2022-Q1,62.1,16.2,10.9,0.24
Brazil,2023-Q1,49.8,12.3,7.1,0.22
Brazil,2024-Q1,41.5,8.9,4.3,0.19
Argentina,2020-Q1,56.9,15.4,8.7,0.22
Argentina,2021-Q1,67.3,21.2,13.5,0.26
Argentina,2022-Q1,82.5,28.9,19.2,0.31
Argentina,2023-Q1,71.4,24.1,15.8,0.28
Argentina,2024-Q1,62.8,19.6,11.4,0.25
Mexico,2020-Q1,44.8,9.1,4.6,0.32
Mexico,2021-Q1,53.6,13.2,7.8,0.35
Mexico,2022-Q1,69.7,19.4,13.1,0.39
Mexico,2023-Q1,56.3,15.2,9.2,0.36
Mexico,2024-Q1,48.9,11.7,6.1,0.33
