department,year,biotech_adoption_pct,yield_tons_ha,calorie_gap_pct,rainfall_mm,education_years
Valle del Cauca,2010,42.3,2.1,18.5,1850,8.2
Valle del Cauca,2015,68.5,2.8,12.3,1920,9.1
Valle del Cauca,2020,82.1,3.4,6.8,1780,9.8
Valle del Cauca,2025,91.2,3.9,2.1,1840,10.2
Meta,2010,38.7,1.9,22.1,2100,7.8
Meta,2015,64.2,2.6,14.7,2180,8.6
Meta,2020,79.8,3.2,7.9,2050,9.3
Meta,2025,88.6,3.7,2.8,2120,9.9
Nariño,2010,8.2,1.5,31.2,1650,6.9
Nariño,2015,14.5,1.7,26.8,1720,7.4
Nariño,2020,22.1,1.9,21.5,1680,8.1
Nariño,2025,31.8,2.2,16.2,1700,8.6
Cauca,2010,6.5,1.4,33.8,1580,6.5
Cauca,2015,12.1,1.6,28.9,1620,7.1
Cauca,2020,19.7,1.8,23.2,1590,7.8
Cauca,2025,28.4,2.1,17.6,1610,8.3
