commodity,month,volatility_pct,var_95_pct,weight_optimal,return_monthly_pct
Coffee,2024-01,14.2,-8.5,0.18,2.3
Coffee,2024-06,16.8,-10.2,0.16,1.8
Coffee,2024-12,15.1,-9.1,0.17,-0.5
Corn,2024-01,22.4,-13.8,0.12,3.1
Corn,2024-06,24.9,-15.6,0.10,2.7
Corn,2024-12,23.2,-14.2,0.11,1.4
Soybeans,2024-01,19.6,-11.9,0.15,2.8
Soybeans,2024-06,21.2,-13.1,0.14,2.2
Soybeans,2024-12,20.1,-12.3,0.14,0.9
Wheat,2024-01,26.8,-17.2,0.09,3.5
Wheat,2024-06,29.1,-19.4,0.08,3.2
Wheat,2024-12,27.5,-18.1,0.08,2.1
Rice,2024-01,11.3,-6.8,0.21,1.8
Rice,2024-06,12.8,-7.9,0.20,1.5
Rice,2024-12,11.9,-7.2,0.21,0.7
