country,year,rca_index,lpi_score,exports_million_usd,coastal_distance_km
Colombia,2015,1.82,2.61,8240,650
Colombia,2020,2.14,2.73,9850,650
Colombia,2025,2.38,2.89,11200,650
Brazil,2015,2.95,3.21,42100,280
Brazil,2020,3.24,3.38,51200,280
Brazil,2025,3.51,3.52,58900,280
Argentina,2015,4.12,2.98,28500,420
Argentina,2020,4.38,3.11,32800,420
Argentina,2025,4.61,3.26,36700,420
Chile,2015,3.24,3.25,12400,85
Chile,2020,3.48,3.42,14200,85
Chile,2025,3.69,3.58,16100,85
Peru,2015,1.94,2.69,5840,180
Peru,2020,2.18,2.81,6920,180
Peru,2025,2.41,2.94,8150,180
Ecuador,2015,2.76,2.52,9120,120
Ecuador,2020,2.98,2.64,10500,120
Ecuador,2025,3.18,2.77,11800,120
